country,Date,Total_Electricity_Production_GWh
Australia,2024-01-01,12111.92
Australia,2024-02-01,13543.55
Australia,2024-03-01,13000.09
Australia,2024-04-01,12668.79
Australia,2024-05-01,11568.95
Australia,2024-06-01,11568.89
Australia,2024-07-01,11325.61
Australia,2024-08-01,13333.5
Australia,2024-09-01,12674.89
Australia,2024-10-01,12940.65
Australia,2024-11-01,11232.43
Australia,2024-12-01,13591.25
Austria,2024-01-01,3059.1
Austria,2024-02-01,2703.36
Austria,2024-03-01,2685.86
Austria,2024-04-01,2686.76
Austria,2024-05-01,2756.08
Austria,2024-06-01,2882.59
Austria,2024-07-01,2829.34
Austria,2024-08-01,2748.62
Austria,2024-09-01,2932.55
Austria,2024-10-01,2661.57
Austria,2024-11-01,2749.14
Austria,2024-12-01,2791.72
Belgium,2024-01-01,2546.78
Belgium,2024-02-01,2715.9
Belgium,2024-03-01,2415.03
Belgium,2024-04-01,2576.67
Belgium,2024-05-01,2616.84
Belgium,2024-06-01,2336.29
Belgium,2024-07-01,2624.62
Belgium,2024-08-01,2400.05
Belgium,2024-09-01,2345.85
Belgium,2024-10-01,2800.02
Belgium,2024-11-01,2808.63
Belgium,2024-12-01,2727.83
Canada,2024-01-01,16750.49
Canada,2024-02-01,16029.02
Canada,2024-03-01,18073.97
Canada,2024-04-01,17223.02
Canada,2024-05-01,16113.97
Canada,2024-06-01,17414.86
Canada,2024-07-01,15808.39
Canada,2024-08-01,18858.7
Canada,2024-09-01,16590.7
Canada,2024-10-01,17998.28
Canada,2024-11-01,16775.23
Canada,2024-12-01,17501.64
Chile,2024-01-01,5148.63
Chile,2024-02-01,4779.47
Chile,2024-03-01,5580.05
Chile,2024-04-01,5381.67
Chile,2024-05-01,5549.35
Chile,2024-06-01,5503.78
Chile,2024-07-01,5200.86
Chile,2024-08-01,5531.37
Chile,2024-09-01,4681.16
Chile,2024-10-01,4790.82
Chile,2024-11-01,4637.02
Chile,2024-12-01,4922.78
Colombia,2024-01-01,3016.94
Colombia,2024-02-01,2944.54
Colombia,2024-03-01,3288.52
Colombia,2024-04-01,2997.24
Colombia,2024-05-01,2950.45
Colombia,2024-06-01,3111.99
Colombia,2024-07-01,2864.05
Colombia,2024-08-01,3272.14
Colombia,2024-09-01,2823.09
Colombia,2024-10-01,3386.12
Colombia,2024-11-01,3253.65
Colombia,2024-12-01,2899.71
